Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1751845680,5,,Aggregated,0.100000,0.100000,12000,12000,13000,13000,13000,13000,13000,13000,13000,13000,13000,4,2,31,6388.928312750068,13.993416912853718,13164.275916991755,25040.75
1751845681,5,,Aggregated,0.100000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,6,2,12000.0,8810.264757213494,13.993416912853718,13737.657125107944,31647.0
1751845682,5,,Aggregated,0.200000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,7,2,13000.0,9468.85509546181,13.993416912853718,13737.657125107944,33834.857142857145
1751845683,5,,Aggregated,0.200000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,7,2,13000.0,9468.85509546181,13.993416912853718,13737.657125107944,33834.857142857145
1751845684,5,,Aggregated,0.200000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,7,2,13000.0,9468.85509546181,13.993416912853718,13737.657125107944,33834.857142857145
1751845685,5,,Aggregated,0.200000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,7,2,13000.0,9468.85509546181,13.993416912853718,13737.657125107944,33834.857142857145
1751845686,5,,Aggregated,0.200000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,7,2,13000.0,9468.85509546181,13.993416912853718,13737.657125107944,33834.857142857145
1751845687,5,,Aggregated,0.200000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,7,2,13000.0,9468.85509546181,13.993416912853718,13737.657125107944,33834.857142857145
1751845688,5,,Aggregated,0.200000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,7,2,13000.0,9468.85509546181,13.993416912853718,13737.657125107944,33834.857142857145
1751845689,5,,Aggregated,0.200000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,7,2,13000.0,9468.85509546181,13.993416912853718,13737.657125107944,33834.857142857145
1751845690,5,,Aggregated,0.200000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,7,2,13000.0,9468.85509546181,13.993416912853718,13737.657125107944,33834.857142857145
1751845691,5,,Aggregated,0.200000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,7,2,13000.0,9468.85509546181,13.993416912853718,13737.657125107944,33834.857142857145
1751845692,5,,Aggregated,0.300000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,8,2,12000.0,9834.152916795574,13.993416912853718,13737.657125107944,34881.375
1751845693,5,,Aggregated,0.300000,0.000000,12000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,9,2,12000.0,10115.290851927259,13.993416912853718,13737.657125107944,35790.0
1751845694,5,,Aggregated,0.300000,0.000000,12000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,9,2,12000.0,10115.290851927259,13.993416912853718,13737.657125107944,35790.0
1751845695,5,,Aggregated,0.200000,0.000000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,10,2,12000.0,10406.347575155087,13.993416912853718,13737.657125107944,36709.8
1751845696,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,11,2,13000.0,10673.594333506613,13.993416912853718,13737.657125107944,37446.36363636364
1751845697,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845698,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845699,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845700,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845701,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845702,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845703,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845704,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845705,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845706,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845707,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,12,2,13000.0,10876.671677300086,13.993416912853718,13737.657125107944,38237.833333333336
1751845708,5,,Aggregated,0.300000,0.000000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14,2,13000.0,11227.145705538403,13.993416912853718,13737.657125107944,39058.57142857143
1751845709,5,,Aggregated,0.100000,0.000000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,15,2,13000.0,11315.761050178358,13.993416912853718,13737.657125107944,39458.4
1751845710,5,,Aggregated,0.000000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,16,2,13000.0,11404.132403782569,13.993416912853718,13737.657125107944,39488.9375
1751845711,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,17,2,13000.0,11478.731970686247,13.993416912853718,13737.657125107944,39758.882352941175
1751845712,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,17,2,13000.0,11478.731970686247,13.993416912853718,13737.657125107944,39758.882352941175
1751845713,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,17,2,13000.0,11478.731970686247,13.993416912853718,13737.657125107944,39758.882352941175
1751845714,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,17,2,13000.0,11478.731970686247,13.993416912853718,13737.657125107944,39758.882352941175
1751845715,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,17,2,13000.0,11478.731970686247,13.993416912853718,13737.657125107944,39758.882352941175
1751845716,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,17,2,13000.0,11478.731970686247,13.993416912853718,13737.657125107944,39758.882352941175
1751845717,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,17,2,13000.0,11478.731970686247,13.993416912853718,13737.657125107944,39758.882352941175
1751845718,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,17,2,13000.0,11478.731970686247,13.993416912853718,13737.657125107944,39758.882352941175
1751845719,5,,Aggregated,0.200000,0.000000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,17,2,13000.0,11478.731970686247,13.993416912853718,13737.657125107944,39758.882352941175
